Id,Date,DayOfWeek,TotalTimeInBed_Hours,TotalTimeAsleep_Hours,SleepEfficiency,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,TotalActiveMinutes,SedentaryMinutes,DayType
4445114986,2016-04-19,3,7.07,6.47,0.915134371,0,0,121,121,895,Weekday
4445114986,2016-04-16,7,8.32,7.7,0.925480769,0,0,225,225,716,Weekend
4445114986,2016-05-10,3,7.1,6.75,0.950704225,0,0,231,231,783,Weekday
4445114986,2016-05-01,1,7.65,7.32,0.956862745,0,0,240,240,741,Weekend
4445114986,2016-04-15,6,6.32,5.62,0.889240506,0,0,350,350,711,Weekday
4445114986,2016-04-28,5,7.37,6.98,0.947082768,0,0,236,236,762,Weekday
4445114986,2016-05-04,4,6.05,5.62,0.92892562,0,0,180,180,897,Weekday
4445114986,2016-04-21,5,7.82,7.27,0.929667519,0,0,215,215,756,Weekday
4445114986,2016-05-12,5,8.35,8.05,0.964071856,0,0,58,58,380,Weekday
4445114986,2016-05-09,2,8.88,7.62,0.858108108,0,0,266,266,641,Weekday
4445114986,2016-05-08,1,6.52,6.02,0.923312883,0,8,308,316,733,Weekend
4445114986,2016-04-25,2,5.75,5.47,0.951304348,0,0,179,179,916,Weekday
4445114986,2016-04-14,5,8.2,7.35,0.896341463,0,0,231,231,717,Weekday
4445114986,2016-04-13,4,6.77,6.17,0.911373708,0,0,194,194,840,Weekday
4445114986,2016-04-17,1,1.78,1.63,0.915730337,0,0,114,114,1219,Weekend
4445114986,2016-04-30,7,5.88,5.37,0.913265306,0,0,290,290,797,Weekend
4445114986,2016-04-22,6,6.95,6.47,0.930935252,0,0,317,317,706,Weekday
4558609924,2016-05-01,1,2.15,1.92,0.893023256,0,0,190,190,1121,Weekend
4702921684,2016-05-12,5,7.37,6.73,0.913161465,0,0,68,68,241,Weekday
4702921684,2016-05-09,2,7.63,7.25,0.950196592,0,12,253,265,746,Weekday
4702921684,2016-04-14,5,6.92,6.4,0.924855491,0,0,271,271,772,Weekday
4702921684,2016-04-13,4,7.17,6.67,0.930264993,0,0,258,258,777,Weekday
4702921684,2016-05-03,3,6.22,5.45,0.876205788,0,0,313,313,729,Weekday
4702921684,2016-04-12,3,7.32,7.08,0.967213115,0,0,263,263,718,Weekday
5553957443,2016-04-23,7,12.08,10.52,0.870860927,0,0,272,272,443,Weekend
5553957443,2016-04-24,1,10.67,9.22,0.864104967,0,0,104,104,582,Weekend
5553957443,2016-04-16,7,11.43,10.85,0.949256343,0,0,288,288,521,Weekend
5553957443,2016-04-13,4,8.13,7.58,0.932349323,0,0,226,226,647,Weekday
5553957443,2016-04-18,2,9.02,8.67,0.961197339,0,0,206,206,622,Weekday
5553957443,2016-05-04,4,7.83,7.45,0.95146871,0,0,224,224,651,Weekday
5553957443,2016-05-11,4,8.1,7.72,0.95308642,0,0,195,195,628,Weekday
5553957443,2016-04-20,4,11.3,10.97,0.97079646,0,0,148,148,598,Weekday
5553957443,2016-04-17,1,6.7,5.83,0.870149254,0,0,46,46,943,Weekend
5553957443,2016-05-07,7,7.83,7.37,0.941251596,0,0,96,96,902,Weekend
